HGNC ID	Approved name	Ensembl ID(supplied by Ensembl)
HGNC:113	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)	
HGNC:17066	apoptotic chromatin condensation inducer 1	ENSG00000100813
HGNC:4035	atypical chemokine receptor 1 (Duffy blood group)	ENSG00000213088
HGNC:1565	atypical chemokine receptor 2	ENSG00000144648
HGNC:23692	atypical chemokine receptor 3	ENSG00000144476
HGNC:1611	atypical chemokine receptor 4	ENSG00000129048
HGNC:21142	ACKR4 pseudogene 1	ENSG00000225415
HGNC:114	acrocallosal syndrome	
HGNC:115	ATP citrate lyase	ENSG00000131473
HGNC:116	acromegaly	
HGNC:19288	aminocarboxymuconate semialdehyde decarboxylase	ENSG00000153086
HGNC:34504	acyl-CoA:amino acid N-acyltransferase pseudogene	ENSG00000227411
HGNC:117	aconitase 1	ENSG00000122729
HGNC:118	aconitase 2	ENSG00000100412
HGNC:33904	aconitate decarboxylase 1	ENSG00000102794
HGNC:33128	acyl-CoA thioesterase 1	ENSG00000184227
HGNC:18431	acyl-CoA thioesterase 2	ENSG00000119673
HGNC:19748	acyl-CoA thioesterase 4	ENSG00000177465
HGNC:33159	acyl-CoA thioesterase 6	ENSG00000205669
HGNC:24157	acyl-CoA thioesterase 7	ENSG00000097021
HGNC:15919	acyl-CoA thioesterase 8	ENSG00000101473
HGNC:17152	acyl-CoA thioesterase 9	ENSG00000123130
HGNC:18156	acyl-CoA thioesterase 11	ENSG00000162390
HGNC:24436	acyl-CoA thioesterase 12	ENSG00000172497
HGNC:20999	acyl-CoA thioesterase 13	ENSG00000112304
HGNC:119	acyl-CoA oxidase 1	ENSG00000161533
HGNC:120	acyl-CoA oxidase 2	ENSG00000168306
HGNC:121	acyl-CoA oxidase 3, pristanoyl	ENSG00000087008
HGNC:25621	acyl-CoA oxidase like	ENSG00000153093
HGNC:41112	ACOXL antisense RNA 1	ENSG00000204581
HGNC:122	acid phosphatase 1	ENSG00000143727
HGNC:123	acid phosphatase 2, lysosomal	ENSG00000134575
HGNC:125	acid phosphatase 3	ENSG00000014257
HGNC:14376	acid phosphatase 4	ENSG00000142513
HGNC:124	acid phosphatase 5, tartrate resistant	ENSG00000102575
HGNC:29609	acid phosphatase 6, lysophosphatidic	ENSG00000162836
HGNC:33781	acid phosphatase 7, tartrate resistant (putative)	ENSG00000183760
HGNC:126	acrosin	ENSG00000100312
HGNC:17195	acrosin binding protein	ENSG00000111644
HGNC:54745	ACR pseudogene 1	ENSG00000175509
HGNC:127	acrosomal vesicle protein 1	ENSG00000134940
HGNC:128	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)	
HGNC:29567	acyl-CoA synthetase bubblegum family member 1	ENSG00000103740
HGNC:24174	acyl-CoA synthetase bubblegum family member 2	ENSG00000130377
HGNC:26101	acyl-CoA synthetase family member 2	ENSG00000167107
HGNC:27288	acyl-CoA synthetase family member 3	ENSG00000176715
HGNC:3569	acyl-CoA synthetase long chain family member 1	ENSG00000151726
HGNC:3570	acyl-CoA synthetase long chain family member 3	ENSG00000123983
HGNC:40227	ACSL3 antisense RNA 1	ENSG00000234193
HGNC:3571	acyl-CoA synthetase long chain family member 4	ENSG00000068366
HGNC:16526	acyl-CoA synthetase long chain family member 5	ENSG00000197142
HGNC:16496	acyl-CoA synthetase long chain family member 6	ENSG00000164398
HGNC:40772	ACSL6 antisense RNA 1	ENSG00000223548
HGNC:18049	acyl-CoA synthetase medium chain family member 1	ENSG00000166743
HGNC:32017	acyl-CoA synthetase medium chain family member 2A	ENSG00000183747
HGNC:30931	acyl-CoA synthetase medium chain family member 2B	ENSG00000066813
HGNC:10522	acyl-CoA synthetase medium chain family member 3	ENSG00000005187
HGNC:32016	acyl-CoA synthetase medium chain family member 4	ENSG00000215009
HGNC:26060	acyl-CoA synthetase medium chain family member 5	ENSG00000183549
HGNC:51295	acyl-CoA synthetase medium chain family member 5 pseudogene 1	ENSG00000260762
HGNC:31665	acyl-CoA synthetase medium chain family member 6	ENSG00000173124
HGNC:16091	acyl-CoA synthetase short chain family member 1	ENSG00000154930
HGNC:15814	acyl-CoA synthetase short chain family member 2	ENSG00000131069
HGNC:24723	acyl-CoA synthetase short chain family member 3	ENSG00000111058
HGNC:129	actin alpha 1, skeletal muscle	ENSG00000143632
HGNC:130	actin alpha 2, smooth muscle	ENSG00000107796
HGNC:45169	ACTA2 antisense RNA 1	ENSG00000180139
HGNC:131	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	
HGNC:132	actin beta	ENSG00000075624
HGNC:17780	actin beta like 2	ENSG00000169067
HGNC:134	ACTB pseudogene 1	ENSG00000229145
HGNC:135	ACTB pseudogene 2	ENSG00000213763
HGNC:136	ACTB pseudogene 3	
HGNC:137	ACTB pseudogene 4	ENSG00000286676
HGNC:138	actin, beta pseudogene 5	
HGNC:139	ACTB pseudogene 6	ENSG00000203413
HGNC:140	ACTB pseudogene 7	ENSG00000185607
HGNC:141	ACTB pseudogene 8	ENSG00000220267
HGNC:142	ACTB pseudogene 9	ENSG00000266920
HGNC:31819	ACTB pseudogene 10	
HGNC:33971	ACTB pseudogene 11	ENSG00000188460
HGNC:150	ACTB pseudogene 12	ENSG00000233125
HGNC:45086	ACTB pseudogene 14	ENSG00000229001
HGNC:55065	ACTB pseudogene 15	ENSG00000213857
HGNC:143	actin alpha cardiac muscle 1	ENSG00000159251
HGNC:51491	actin epsilon 1, pseudogene	ENSG00000172900
HGNC:144	actin gamma 1	ENSG00000184009
HGNC:146	actin gamma 1 pseudogene 1	ENSG00000178631
HGNC:147	actin gamma 1 pseudogene 2	ENSG00000229129
HGNC:148	actin gamma 1 pseudogene 3	ENSG00000215388
HGNC:149	actin gamma 1 pseudogene 4	ENSG00000236085
HGNC:151	actin gamma 1 pseudogene 6	
HGNC:152	actin gamma 1 pseudogene 7	
HGNC:153	actin gamma 1 pseudogene 8	
HGNC:154	actin gamma 1 pseudogene 9	ENSG00000229349
HGNC:155	actin gamma 1 pseudogene 10	ENSG00000231340
HGNC:37651	actin gamma 1 pseudogene 11	ENSG00000229465
HGNC:44496	actin gamma 1 pseudogene 12	ENSG00000226642
HGNC:49058	actin gamma 1 pseudogene 13	ENSG00000241305
HGNC:49751	actin gamma 1 pseudogene 14	ENSG00000230581
HGNC:51495	actin gamma 1 pseudogene 15	ENSG00000259904
HGNC:51496	actin gamma 1 pseudogene 16	ENSG00000260298
HGNC:51497	actin gamma 1 pseudogene 17	ENSG00000259315
HGNC:51498	actin gamma 1 pseudogene 18	ENSG00000218475
HGNC:51499	actin gamma 1 pseudogene 19	ENSG00000237999
HGNC:51500	actin gamma 1 pseudogene 20	ENSG00000241547
HGNC:51501	actin gamma 1 pseudogene 21	ENSG00000232672
HGNC:51502	actin gamma 1 pseudogene 22	ENSG00000271615
HGNC:51503	actin gamma 1 pseudogene 23	ENSG00000230362
HGNC:49661	actin gamma 1 pseudogene 24	ENSG00000226359
HGNC:54872	actin gamma 1 pseudogene 25	ENSG00000234996
HGNC:145	actin gamma 2, smooth muscle	ENSG00000163017
HGNC:156	symbol withdrawn, see [HGNC:147](/data/gene-symbol-report/#!/hgnc_id/HGNC:147)	
HGNC:157	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	
HGNC:158	actin-like 4	
HGNC:159	actin-like 5	
HGNC:24124	actin like 6A	ENSG00000136518
HGNC:160	actin like 6B	ENSG00000077080
HGNC:161	actin like 7A	ENSG00000187003
HGNC:162	actin like 7B	ENSG00000148156
HGNC:24018	actin like 8	ENSG00000117148
HGNC:28494	actin like 9	ENSG00000181786
HGNC:16127	actin like 10	
HGNC:44626	actin like 11, pseudogene	ENSG00000234667
HGNC:163	actinin alpha 1	ENSG00000072110
HGNC:20131	ACTN1 divergent transcript	ENSG00000259062
HGNC:164	actinin alpha 2	ENSG00000077522
HGNC:165	actinin alpha 3	ENSG00000248746
HGNC:166	actinin alpha 4	ENSG00000130402
HGNC:44028	actinin alpha 4 pseudogene 1	ENSG00000213493
HGNC:44032	actinin alpha 4 pseudogene 2	ENSG00000214141
HGNC:51621	actin family pseudogene 1	ENSG00000229890
HGNC:167	actin related protein 1A	ENSG00000138107
HGNC:54703	ACTR1A pseudogene 1	ENSG00000233370
HGNC:168	actin related protein 1B	ENSG00000115073
HGNC:169	actin related protein 2	ENSG00000138071
HGNC:170	actin related protein 3	ENSG00000115091
HGNC:53965	ACTR3 antisense RNA 1	
HGNC:17256	actin related protein 3B	ENSG00000133627
HGNC:37724	ACTR3B pseudogene 1	ENSG00000270242
HGNC:38677	ACTR3B pseudogene 2	ENSG00000226481
HGNC:38678	ACTR3B pseudogene 3	ENSG00000260327
HGNC:38681	ACTR3B pseudogene 4	ENSG00000249283
HGNC:38682	ACTR3B pseudogene 5	ENSG00000227264
HGNC:38683	ACTR3B pseudogene 6	ENSG00000280263
HGNC:54971	ACTR3B pseudogene 7	ENSG00000226444
HGNC:37282	actin related protein 3C	ENSG00000106526
HGNC:31820	ACTR3 pseudogene 1	
HGNC:38676	ACTR3 pseudogene 2	ENSG00000232267
HGNC:38679	ACTR3 pseudogene 3	ENSG00000242573
HGNC:14671	actin related protein 5	ENSG00000101442
HGNC:24025	actin related protein 6	ENSG00000075089
HGNC:44210	ACTR6 pseudogene 1	ENSG00000248915
HGNC:14672	actin related protein 8	ENSG00000113812
HGNC:17372	actin related protein 10	ENSG00000131966
HGNC:24027	actin related protein T1	ENSG00000123165
HGNC:55127	ACTRT1 pseudogene 1	ENSG00000235239
HGNC:24026	actin related protein T2	ENSG00000169717
HGNC:24022	actin related protein T3	ENSG00000184378
HGNC:171	activin A receptor type 1	ENSG00000115170
HGNC:172	activin A receptor type 1B	ENSG00000135503
HGNC:18123	activin A receptor type 1C	ENSG00000123612
HGNC:173	activin A receptor type 2A	ENSG00000121989
HGNC:174	activin A receptor type 2B	ENSG00000114739
HGNC:44161	ACVR2B antisense RNA 1	ENSG00000229589
HGNC:175	activin A receptor like type 1	ENSG00000139567
HGNC:176	symbol withdrawn, see [HGNC:171](/data/gene-symbol-report/#!/hgnc_id/HGNC:171)	
HGNC:177	aminoacylase 1	ENSG00000243989
HGNC:178	symbol withdrawn, see [HGNC:26295](/data/gene-symbol-report/#!/hgnc_id/HGNC:26295)	
HGNC:24104	aminoacylase 3	ENSG00000132744
HGNC:179	acylphosphatase 1	ENSG00000119640
HGNC:180	acylphosphatase 2	ENSG00000170634
HGNC:181	symbol withdrawn, see [HGNC:620](/data/gene-symbol-report/#!/hgnc_id/HGNC:620)	
